fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,season_id
710556,M. Oliver,UTC,2021-08-13T19:00:00+00:00,1628881200,1628881200,1628884800,10503,Brentford Community Stadium,"Brentford, Middlesex",Match Finished,FT,90,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2021,Regular Season - 1,55,Brentford,https://media-2.api-sports.io/football/teams/55.png,True,42,Arsenal,https://media-3.api-sports.io/football/teams/42.png,False,2,0,1,0,2,0,,,,,2021
710557,D. Coote,UTC,2021-08-14T14:00:00+00:00,1628949600,1628949600,1628953200,512,Turf Moor,Burnley,Match Finished,FT,90,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2021,Regular Season - 1,44,Burnley,https://media-1.api-sports.io/football/teams/44.png,False,51,Brighton,https://media-3.api-sports.io/football/teams/51.png,True,1,2,1,0,1,2,,,,,2021
710558,J. Moss,UTC,2021-08-14T14:00:00+00:00,1628949600,1628949600,1628953200,519,Stamford Bridge,London,Match Finished,FT,90,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2021,Regular Season - 1,49,Chelsea,https://media-3.api-sports.io/football/teams/49.png,True,52,Crystal Palace,https://media-2.api-sports.io/football/teams/52.png,False,3,0,2,0,3,0,,,,,2021
710559,A. Madley,UTC,2021-08-14T14:00:00+00:00,1628949600,1628949600,1628953200,8560,Goodison Park,Liverpool,Match Finished,FT,90,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2021,Regular Season - 1,45,Everton,https://media-2.api-sports.io/football/teams/45.png,True,41,Southampton,https://media-1.api-sports.io/football/teams/41.png,False,3,1,0,1,3,1,,,,,2021
710560,C. Pawson,UTC,2021-08-14T14:00:00+00:00,1628949600,1628949600,1628953200,547,King Power Stadium,"Leicester, Leicestershire",Match Finished,FT,90,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2021,Regular Season - 1,46,Leicester,https://media-2.api-sports.io/football/teams/46.png,True,39,Wolves,https://media-1.api-sports.io/football/teams/39.png,False,1,0,1,0,1,0,,,,,2021
710561,P. Tierney,UTC,2021-08-14T11:30:00+00:00,1628940600,1628940600,1628944200,556,Old Trafford,Manchester,Match Finished,FT,90,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2021,Regular Season - 1,33,Manchester United,https://media-1.api-sports.io/football/teams/33.png,True,63,Leeds,https://media-3.api-sports.io/football/teams/63.png,False,5,1,1,0,5,1,,,,,2021
710562,M. Atkinson,UTC,2021-08-15T13:00:00+00:00,1629032400,1629032400,1629036000,562,St. James' Park,Newcastle upon Tyne,Match Finished,FT,90,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2021,Regular Season - 1,34,Newcastle,https://media-1.api-sports.io/football/teams/34.png,False,48,West Ham,https://media-3.api-sports.io/football/teams/48.png,True,2,4,2,1,2,4,,,,,2021
710563,A. Marriner,UTC,2021-08-14T16:30:00+00:00,1628958600,1628958600,1628962200,565,Carrow Road,"Norwich, Norfolk",Match Finished,FT,90,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2021,Regular Season - 1,71,Norwich,https://media-1.api-sports.io/football/teams/71.png,False,40,Liverpool,https://media-1.api-sports.io/football/teams/40.png,True,0,3,0,1,0,3,,,,,2021
710564,A. Taylor,UTC,2021-08-15T15:30:00+00:00,1629041400,1629041400,1629045000,593,Tottenham Hotspur Stadium,London,Match Finished,FT,90,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2021,Regular Season - 1,47,Tottenham,https://media-2.api-sports.io/football/teams/47.png,True,50,Manchester City,https://media-1.api-sports.io/football/teams/50.png,False,1,0,0,0,1,0,,,,,2021
710565,M. Dean,UTC,2021-08-14T14:00:00+00:00,1628949600,1628949600,1628953200,596,Vicarage Road,Watford,Match Finished,FT,90,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2021,Regular Season - 1,38,Watford,https://media-1.api-sports.io/football/teams/38.png,True,66,Aston Villa,https://media-2.api-sports.io/football/teams/66.png,False,3,2,2,0,3,2,,,,,2021
710566,P. Tierney,UTC,2021-08-22T15:30:00+00:00,1629646200,1629646200,1629649800,494,Emirates Stadium,London,Match Finished,FT,90,39,Premier League,England,https://media-1.api-sports.io/football/leagues/39.png,https://media-2.api-sports.io/flags/gb.svg,2021,Regular Season - 2,42,Arsenal,https://media-3.api-sports.io/football/teams/42.png,False,49,Chelsea,https://media-2.api-sports.io/football/teams/49.png,True,0,2,0,2,0,2,,,,,2021
