id,name,age,number,position,photo
20355,A. Ramsdale,25,1.0,Goalkeeper,https://media-3.api-sports.io/football/players/20355.png
50999,M. Turner,29,30.0,Goalkeeper,https://media-2.api-sports.io/football/players/50999.png
169295,K. Hein,21,31.0,Goalkeeper,https://media-3.api-sports.io/football/players/169295.png
138843,J. Hillson,22,,Goalkeeper,https://media-3.api-sports.io/football/players/138843.png
1117,K. Tierney,26,3.0,Defender,https://media-3.api-sports.io/football/players/1117.png
19959,B. White,26,4.0,Defender,https://media-1.api-sports.io/football/players/19959.png
22224,Gabriel Magalhães,26,6.0,Defender,https://media-1.api-sports.io/football/players/22224.png
22090,W. Saliba,22,12.0,Defender,https://media-2.api-sports.io/football/players/22090.png
61431,J. Kiwior,23,15.0,Defender,https://media-3.api-sports.io/football/players/61431.png
1440,R. Holding,28,16.0,Defender,https://media-3.api-sports.io/football/players/1440.png
2597,T. Tomiyasu,25,18.0,Defender,https://media-1.api-sports.io/football/players/2597.png
284439,L. Sousa,18,96.0,Defender,https://media-1.api-sports.io/football/players/284439.png
309505,R. Walters,19,97.0,Defender,https://media-3.api-sports.io/football/players/309505.png
49,T. Partey,30,5.0,Midfielder,https://media-2.api-sports.io/football/players/49.png
1460,B. Saka,22,7.0,Midfielder,https://media-2.api-sports.io/football/players/1460.png
37127,M. Ødegaard,25,8.0,Midfielder,https://media-2.api-sports.io/football/players/37127.png
1161,E. Smith Rowe,23,10.0,Midfielder,https://media-2.api-sports.io/football/players/1161.png
2289,Jorginho,32,20.0,Midfielder,https://media-2.api-sports.io/football/players/2289.png
41725,Fábio Vieira,23,21.0,Midfielder,https://media-2.api-sports.io/football/players/41725.png
1452,Mohamed Elneny,31,25.0,Midfielder,https://media-1.api-sports.io/football/players/1452.png
1464,G. Xhaka,31,34.0,Midfielder,https://media-2.api-sports.io/football/players/1464.png
641,O. Zinchenko,27,35.0,Midfielder,https://media-3.api-sports.io/football/players/641.png
167658,M. Smith,23,72.0,Midfielder,https://media-3.api-sports.io/football/players/167658.png
313236,E. Nwaneri,16,83.0,Midfielder,https://media-1.api-sports.io/football/players/313236.png
309501,A. Cozier-Duberry,18,85.0,Midfielder,https://media-3.api-sports.io/football/players/309501.png
278075,C. Cîrjan,21,,Midfielder,https://media-3.api-sports.io/football/players/278075.png
284540,Mauro Bandeira,19,,Midfielder,https://media-1.api-sports.io/football/players/284540.png
309507,B. Ibrahim,19,,Midfielder,https://media-3.api-sports.io/football/players/309507.png
643,Gabriel Jesus,26,9.0,Attacker,https://media-2.api-sports.io/football/players/643.png
127769,Gabriel Martinelli,22,11.0,Attacker,https://media-3.api-sports.io/football/players/127769.png
1468,E. Nketiah,24,14.0,Attacker,https://media-3.api-sports.io/football/players/1468.png
1946,L. Trossard,29,19.0,Attacker,https://media-3.api-sports.io/football/players/1946.png
727,R. Nelson,24,24.0,Attacker,https://media-1.api-sports.io/football/players/727.png
284062,K. Edwards,20,,Attacker,https://media-1.api-sports.io/football/players/284062.png
284571,C. Sagoe,19,,Attacker,https://media-2.api-sports.io/football/players/284571.png
