player_nationality,games_position,team_founded,venue_surface,player_height,league_id,team_id,player_age,player_weight,venue_id
Greece,Goalkeeper,1944.0,grass,189,61,79,37.0,79,19207
France,Midfielder,1944.0,grass,178,61,79,35.0,65,19207
France,Defender,1944.0,grass,173,61,79,33.0,69,19207
France,Midfielder,1944.0,grass,180,61,79,20.0,67,19207
Portugal,Attacker,1944.0,grass,180,61,79,20.0,66,19207
Türkiye,Attacker,1944.0,grass,188,61,79,38.0,80,19207
Netherlands,Defender,1944.0,grass,193,61,79,23.0,81,19207
Croatia,Defender,1944.0,grass,178,61,79,24.0,69,19207
France,Midfielder,1944.0,grass,175,61,79,25.0,67,19207
Belgium,Midfielder,1944.0,grass,192,61,79,22.0,76,19207
France,Attacker,1944.0,grass,177,61,79,21.0,69,19207
Senegal,Midfielder,1944.0,grass,188,61,79,23.0,83,19207
Türkiye,Defender,1944.0,grass,180,61,79,26.0,78,19207
France,Goalkeeper,1944.0,grass,187,61,79,20.0,89,19207
Türkiye,Midfielder,1944.0,grass,183,61,79,26.0,74,19207
Angola,Attacker,1944.0,grass,171,61,79,21.0,63,19207
Mexico,Midfielder,1944.0,grass,180,61,79,21.0,74,19207
Côte d'Ivoire,Defender,1944.0,grass,183,61,79,26.0,75,19207
Croatia,Goalkeeper,1944.0,grass,195,61,79,27.0,83,19207
Mozambique,Defender,1944.0,grass,180,61,79,29.0,73,19207
Portugal,Midfielder,1944.0,grass,176,61,79,26.0,70,19207
Cameroon,Midfielder,1944.0,grass,189,61,79,23.0,76,19207
Portugal,Midfielder,1944.0,grass,185,61,79,29.0,80,19207
France,Defender,1944.0,grass,184,61,79,25.0,76,19207
Portugal,Defender,1944.0,grass,190,61,79,23.0,73,19207
Portugal,Defender,1944.0,grass,187,61,79,40.0,81,19207
Slovakia,Goalkeeper,1944.0,grass,188,61,79,26.0,85,19207
France,Defender,1944.0,grass,190,61,79,18.0,75,19207
England,Midfielder,1944.0,grass,168,61,79,23.0,56,19207
USA,Attacker,1944.0,grass,183,61,79,23.0,66,19207
France,Midfielder,1944.0,grass,180,61,79,33.0,76,19207
Canada,Attacker,1944.0,grass,175,61,79,23.0,70,19207
Côte d'Ivoire,Attacker,1944.0,grass,175,61,79,27.0,72,19207
Kosovo,Midfielder,1944.0,grass,181,61,79,24.0,66,19207
France,Midfielder,1944.0,grass,179,61,79,20.0,74,19207
Burkina Faso,Attacker,1944.0,grass,179,61,79,20.0,75,19207
France,Midfielder,1944.0,grass,179,61,79,20.0,74,19207
Cameroon,Midfielder,1944.0,grass,179,61,79,19.0,75,19207
France,Midfielder,1944.0,grass,179,61,79,21.0,70,19207
Brazil,Attacker,1944.0,grass,175,61,79,27.0,70,19207
Sweden,Defender,1944.0,grass,180,61,79,24.0,74,19207
Brazil,Goalkeeper,1944.0,grass,188,61,79,28.0,82,19207
France,Attacker,1881.0,grass,181,61,78,37.0,84,638
France,Defender,1881.0,grass,186,61,78,37.0,75,638
Guinea,Attacker,1881.0,grass,177,61,78,21.0,78,638
France,Defender,1881.0,grass,175,61,78,26.0,64,638
Spain,Midfielder,1881.0,grass,181,61,78,31.0,69,638
France,Midfielder,1881.0,grass,188,61,78,33.0,77,638
Togo,Defender,1881.0,grass,182,61,78,24.0,80,638
Algeria,Defender,1881.0,grass,197,61,78,26.0,85,638
France,Midfielder,1881.0,grass,186,61,78,23.0,73,638
France,Midfielder,1881.0,grass,186,61,78,23.0,73,638
France,Attacker,1881.0,grass,185,61,78,27.0,79,638
Italy,Defender,1881.0,grass,188,61,78,23.0,82,638
Nigeria,Attacker,1881.0,grass,176,61,78,26.0,74,638
Bosnia and Herzegovina,Defender,1881.0,grass,195,61,78,24.0,84,638
France,Attacker,1881.0,grass,184,61,78,21.0,69,638
Switzerland,Defender,1881.0,grass,184,61,78,31.0,80,638
Togo,Attacker,1881.0,grass,170,61,78,22.0,65,638
Brazil,Defender,1881.0,grass,191,61,78,36.0,85,638
Croatia,Midfielder,1881.0,grass,189,61,78,27.0,80,638
Netherlands,Attacker,1881.0,grass,175,61,78,25.0,74,638
Guadeloupe,Goalkeeper,1881.0,grass,188,61,78,24.0,75,638
France,Goalkeeper,1881.0,grass,187,61,78,21.0,76,638
France,Defender,1881.0,grass,183,61,78,26.0,75,638
France,Defender,1881.0,grass,187,61,78,35.0,85,638
Mozambique,Defender,1881.0,grass,188,61,78,35.0,79,638
Algeria,Midfielder,1881.0,grass,175,61,78,24.0,58,638
France,Defender,1881.0,grass,183,61,78,21.0,80,638
Honduras,Attacker,1881.0,grass,183,61,78,27.0,77,638
Cameroon,Midfielder,1881.0,grass,189,61,78,23.0,76,638
France,Goalkeeper,1881.0,grass,184,61,78,24.0,84,638
Cameroon,Defender,1881.0,grass,189,61,78,23.0,78,638
France,Goalkeeper,1881.0,grass,187,61,78,22.0,80,638
France,Defender,1881.0,grass,184,61,78,20.0,80,638
Gabon,Defender,1881.0,grass,179,61,78,20.0,74,638
France,Defender,1881.0,grass,175,61,78,19.0,66,638
Nigeria,Attacker,1881.0,grass,181,61,78,25.0,78,638
Brazil,Midfielder,1881.0,grass,186,61,78,33.0,85,638
Ukraine,Midfielder,1881.0,grass,189,61,78,26.0,84,638
France,Attacker,1881.0,grass,179,61,78,21.0,75,638
France,Midfielder,1881.0,grass,182,61,78,21.0,76,638
Mali,Midfielder,1881.0,grass,174,61,78,21.0,67,638
France,Goalkeeper,1881.0,grass,188,61,78,36.0,88,638
Senegal,Attacker,1881.0,grass,184,61,78,29.0,75,638
Ghana,Defender,1881.0,grass,178,61,78,25.0,70,638
Portugal,Defender,1881.0,grass,179,61,78,25.0,66,638
Brazil,Midfielder,1881.0,grass,176,61,78,29.0,73,638
Korea Republic,Attacker,1881.0,grass,185,61,78,31.0,78,638
Norway,Defender,1881.0,grass,192,61,78,28.0,83,638
France,Defender,1920.0,grass,182,61,1063,25.0,89,676
France,Defender,1920.0,grass,188,61,1063,31.0,84,676
Algeria,Midfielder,1920.0,grass,177,61,1063,32.0,70,676
Greece,Defender,1920.0,grass,175,61,1063,25.0,74,676
Cameroon,Midfielder,1920.0,grass,180,61,1063,26.0,63,676
France,Defender,1920.0,grass,185,61,1063,32.0,75,676
France,Attacker,1920.0,grass,188,61,1063,28.0,79,676
France,Attacker,1920.0,grass,175,61,1063,24.0,60,676
France,Attacker,1920.0,grass,187,61,1063,23.0,73,676
France,Defender,1920.0,grass,175,61,1063,24.0,65,676
Senegal,Midfielder,1920.0,grass,175,61,1063,26.0,68,676
France,Midfielder,1920.0,grass,185,61,1063,20.0,81,676
Brazil,Defender,1920.0,grass,179,61,1063,32.0,75,676
Cameroon,Defender,1920.0,grass,184,61,1063,21.0,75,676
Algeria,Goalkeeper,1920.0,grass,186,61,1063,20.0,75,676
France,Attacker,1920.0,grass,180,61,1063,20.0,67,676
France,Defender,1920.0,grass,183,61,1063,21.0,78,676
Senegal,Midfielder,1920.0,grass,182,61,1063,21.0,71,676
Mali,Attacker,1920.0,grass,183,61,1063,35.0,85,676
Cameroon,Defender,1920.0,grass,191,61,1063,26.0,74,676
France,Midfielder,1920.0,grass,182,61,1063,24.0,81,676
Mali,Defender,1920.0,grass,180,61,1063,28.0,65,676
France,Attacker,1920.0,grass,170,61,1063,25.0,70,676
Tunisia,Attacker,1920.0,grass,176,61,1063,32.0,80,676
France,Defender,1920.0,grass,176,61,1063,25.0,74,676
France,Goalkeeper,1920.0,grass,191,61,1063,22.0,84,676
France,Goalkeeper,1920.0,grass,190,61,1063,26.0,78,676
Senegal,Midfielder,1920.0,grass,179,61,1063,28.0,75,676
France,Midfielder,1920.0,grass,178,61,1063,25.0,73,676
France,Midfielder,1920.0,grass,179,61,1063,22.0,72,676
France,Attacker,1920.0,grass,171,61,1063,21.0,61,676
Côte d'Ivoire,Defender,1920.0,grass,185,61,1063,21.0,74,676
France,Attacker,1920.0,grass,178,61,1063,36.0,76,676
France,Midfielder,1920.0,grass,181,61,1063,21.0,72,676
France,Defender,1920.0,grass,186,61,1063,24.0,81,676
France,Midfielder,1920.0,grass,179,61,1063,22.0,71,676
England,Goalkeeper,1920.0,grass,192,61,1063,23.0,76,676
France,Defender,1920.0,grass,171,61,1063,21.0,64,676
France,Midfielder,1920.0,grass,177,61,1063,21.0,70,676
Guinea,Defender,1920.0,grass,185,61,1063,21.0,75,676
Senegal,Goalkeeper,1920.0,grass,198,61,1063,22.0,80,676
France,Midfielder,1920.0,grass,189,61,1063,21.0,75,676
France,Defender,1920.0,grass,178,61,1063,26.0,72,676
Côte d'Ivoire,Attacker,1920.0,grass,187,61,1063,26.0,80,676
France,Attacker,1920.0,grass,180,61,1063,21.0,68,676
Peru,Defender,1920.0,grass,175,61,1063,31.0,62,676
Gabon,Attacker,1920.0,grass,175,61,1063,29.0,70,676
Uruguay,Attacker,1920.0,grass,180,61,1063,26.0,76,676
Mali,Attacker,1943.0,grass,197,61,83,32.0,84,662
Mali,Defender,1943.0,grass,191,61,83,31.0,87,662
France,Attacker,1943.0,grass,186,61,83,23.0,86,662
France,Attacker,1943.0,grass,187,61,83,25.0,77,662
Belgium,Attacker,1943.0,grass,186,61,83,32.0,73,662
France,Midfielder,1943.0,grass,187,61,83,29.0,77,662
Guinea,Defender,1943.0,grass,181,61,83,23.0,75,662
France,Attacker,1943.0,grass,185,61,83,22.0,72,662
France,Attacker,1943.0,grass,177,61,83,26.0,69,662
France,Midfielder,1943.0,grass,181,61,83,28.0,75,662
Belgium,Attacker,1943.0,grass,177,61,83,29.0,72,662
Ghana,Midfielder,1943.0,grass,170,61,83,25.0,66,662
France,Defender,1943.0,grass,183,61,83,22.0,74,662
France,Defender,1943.0,grass,176,61,83,33.0,69,662
Cameroon,Defender,1943.0,grass,186,61,83,28.0,79,662
France,Goalkeeper,1943.0,grass,194,61,83,27.0,74,662
France,Defender,1943.0,grass,190,61,83,36.0,89,662
Mali,Defender,1943.0,grass,180,61,83,31.0,74,662
Brazil,Defender,1943.0,grass,186,61,83,31.0,79,662
Congo DR,Midfielder,1943.0,grass,176,61,83,27.0,72,662
Slovenia,Goalkeeper,1943.0,grass,186,61,83,35.0,80,662
France,Midfielder,1943.0,grass,180,61,83,26.0,70,662
France,Goalkeeper,1943.0,grass,193,61,83,24.0,82,662
Spain,Midfielder,1943.0,grass,178,61,83,26.0,66,662
France,Defender,1943.0,grass,188,61,83,21.0,78,662
France,Midfielder,1943.0,grass,180,61,83,21.0,70,662
France,Midfielder,1943.0,grass,180,61,83,21.0,70,662
Nigeria,Attacker,1943.0,grass,168,61,83,28.0,66,662
France,Attacker,1943.0,grass,184,61,83,27.0,79,662
France,Midfielder,1943.0,grass,173,61,83,21.0,70,662
France,Midfielder,1943.0,grass,178,61,83,27.0,71,662
France,Defender,1943.0,grass,179,61,83,31.0,68,662
France,Attacker,1943.0,grass,177,61,83,29.0,74,662
France,Midfielder,1943.0,grass,181,61,83,21.0,70,662
Brazil,Defender,1943.0,grass,172,61,83,33.0,66,662
Morocco,Midfielder,1943.0,grass,178,61,83,24.0,65,662
France,Defender,1926.0,artificial turf,182,61,97,31.0,76,656
France,Defender,1926.0,artificial turf,185,61,97,36.0,80,656
France,Midfielder,1926.0,artificial turf,175,61,97,36.0,71,656
Germany,Defender,1926.0,artificial turf,190,61,97,24.0,73,656
France,Defender,1926.0,artificial turf,184,61,97,25.0,73,656
France,Attacker,1926.0,artificial turf,177,61,97,25.0,79,656
Congo DR,Attacker,1926.0,artificial turf,176,61,97,27.0,74,656
France,Midfielder,1926.0,artificial turf,179,61,97,20.0,74,656
Burkina Faso,Attacker,1926.0,artificial turf,177,61,97,21.0,71,656
France,Goalkeeper,1926.0,artificial turf,187,61,97,29.0,77,656
Madagascar,Defender,1926.0,artificial turf,172,61,97,39.0,71,656
France,Defender,1926.0,artificial turf,184,61,97,32.0,78,656
France,Defender,1926.0,artificial turf,180,61,97,26.0,76,656
France,Midfielder,1926.0,artificial turf,174,61,97,26.0,75,656
France,Attacker,1926.0,artificial turf,181,61,97,21.0,70,656
Austria,Attacker,1926.0,artificial turf,188,61,97,27.0,82,656
France,Attacker,1926.0,artificial turf,189,61,97,29.0,76,656
France,Defender,1926.0,artificial turf,172,61,97,29.0,68,656
Senegal,Attacker,1926.0,artificial turf,182,61,97,22.0,69,656
France,Defender,1926.0,artificial turf,194,61,97,22.0,85,656
Nigeria,Attacker,1926.0,artificial turf,188,61,97,24.0,87,656
France,Goalkeeper,1926.0,artificial turf,182,61,97,25.0,81,656
Brazil,Defender,1926.0,artificial turf,173,61,97,27.0,66,656
France,Goalkeeper,1926.0,artificial turf,178,61,97,26.0,70,656
France,Defender,1926.0,artificial turf,177,61,97,34.0,69,656
France,Defender,1926.0,artificial turf,185,61,97,30.0,82,656
Nigeria,Midfielder,1926.0,artificial turf,180,61,97,27.0,74,656
France,Midfielder,1926.0,artificial turf,170,61,97,23.0,70,656
France,Midfielder,1926.0,artificial turf,170,61,97,30.0,65,656
Côte d'Ivoire,Midfielder,1926.0,artificial turf,173,61,97,25.0,58,656
Mali,Attacker,1926.0,artificial turf,190,61,97,24.0,75,656
France,Defender,1926.0,artificial turf,183,61,97,21.0,78,656
Côte d'Ivoire,Midfielder,1926.0,artificial turf,183,61,97,22.0,78,656
France,Goalkeeper,1926.0,artificial turf,188,61,97,34.0,81,656
France,Midfielder,1926.0,artificial turf,184,61,97,32.0,83,656
France,Defender,1926.0,artificial turf,188,61,97,26.0,80,656
France,Defender,1926.0,artificial turf,183,61,97,23.0,73,656
France,Attacker,1926.0,artificial turf,180,61,97,22.0,72,656
Brazil,Defender,1974.0,grass,180,61,82,44.0,78,660
Cameroon,Defender,1974.0,grass,170,61,82,31.0,68,660
Serbia,Attacker,1974.0,grass,193,61,82,32.0,89,660
Cameroon,Defender,1974.0,grass,182,61,82,20.0,75,660
Switzerland,Goalkeeper,1974.0,grass,190,61,82,29.0,80,660
France,Defender,1974.0,grass,178,61,82,24.0,72,660
France,Midfielder,1974.0,grass,185,61,82,27.0,77,660
Switzerland,Midfielder,1974.0,grass,187,61,82,23.0,70,660
Serbia,Defender,1974.0,grass,180,61,82,28.0,75,660
France,Defender,1974.0,grass,175,61,82,23.0,73,660
France,Goalkeeper,1974.0,grass,180,61,82,25.0,85,660
Portugal,Defender,1974.0,grass,186,61,82,33.0,78,660
Portugal,Goalkeeper,1974.0,grass,186,61,82,24.0,80,660
France,Defender,1974.0,grass,178,61,82,22.0,68,660
Cameroon,Defender,1974.0,grass,182,61,82,21.0,75,660
France,Defender,1974.0,grass,193,61,82,21.0,87,660
France,Defender,1974.0,grass,185,61,82,20.0,73,660
England,Attacker,1974.0,grass,182,61,82,25.0,71,660
France,Attacker,1974.0,grass,181,61,82,33.0,75,660
Uruguay,Defender,1974.0,grass,182,61,82,27.0,80,660
France,Defender,1974.0,grass,187,61,82,33.0,83,660
France,Midfielder,1974.0,grass,187,61,82,23.0,82,660
France,Midfielder,1974.0,grass,173,61,82,31.0,73,660
France,Midfielder,1974.0,grass,172,61,82,32.0,69,660
France,Midfielder,1974.0,grass,179,61,82,22.0,70,660
France,Attacker,1974.0,grass,184,61,82,20.0,74,660
Algeria,Attacker,1974.0,grass,192,61,82,22.0,75,660
Congo,Attacker,1974.0,grass,181,61,82,21.0,73,660
France,Attacker,1974.0,grass,171,61,82,21.0,65,660
France,Midfielder,1974.0,grass,170,61,82,32.0,67,660
France,Attacker,1974.0,grass,182,61,82,29.0,81,660
Algeria,Attacker,1974.0,grass,182,61,82,32.0,82,660
France,Midfielder,1974.0,grass,172,61,82,33.0,68,660
France,Defender,1974.0,grass,179,61,82,31.0,72,660
Brazil,Defender,1974.0,grass,186,61,82,24.0,86,660
USA,Attacker,1974.0,grass,183,61,82,23.0,72,660
Guinea,Attacker,1906.0,grass,168,61,116,24.0,58,654
Portugal,Goalkeeper,1906.0,grass,195,61,116,19.0,75,654
France,Midfielder,1906.0,grass,178,61,116,37.0,72,654
France,Defender,1906.0,grass,172,61,116,20.0,76,654
Mali,Midfielder,1906.0,grass,180,61,116,23.0,73,654
France,Attacker,1906.0,grass,180,61,116,22.0,72,654
Mali,Midfielder,1906.0,grass,185,61,116,34.0,79,654
Algeria,Midfielder,1906.0,grass,180,61,116,22.0,67,654
Senegal,Midfielder,1906.0,grass,185,61,116,21.0,75,654
France,Attacker,1906.0,grass,189,61,116,27.0,77,654
France,Midfielder,1906.0,grass,175,61,116,25.0,65,654
France,Midfielder,1906.0,grass,179,61,116,22.0,72,654
France,Defender,1906.0,grass,178,61,116,31.0,69,654
Venezuela,Goalkeeper,1906.0,grass,178,61,116,25.0,74,654
France,Goalkeeper,1906.0,grass,180,61,116,38.0,75,654
Austria,Defender,1906.0,grass,190,61,116,25.0,89,654
Comoros,Goalkeeper,1906.0,grass,189,61,116,22.0,75,654
Mali,Defender,1906.0,grass,179,61,116,31.0,76,654
Argentina,Defender,1906.0,grass,177,61,116,24.0,78,654
Cape Verde,Defender,1906.0,grass,192,61,116,31.0,85,654
France,Attacker,1906.0,grass,187,61,116,33.0,77,654
France,Defender,1906.0,grass,180,61,116,31.0,75,654
France,Attacker,1906.0,grass,171,61,116,28.0,75,654
Côte d'Ivoire,Midfielder,1906.0,grass,183,61,116,28.0,74,654
Comoros,Defender,1906.0,grass,173,61,116,23.0,68,654
Portugal,Midfielder,1906.0,grass,168,61,116,22.0,63,654
France,Defender,1906.0,grass,183,61,116,23.0,77,654
France,Midfielder,1906.0,grass,179,61,116,21.0,70,654
Cameroon,Attacker,1906.0,grass,179,61,116,24.0,73,654
Congo DR,Midfielder,1906.0,grass,173,61,116,32.0,72,654
France,Attacker,1906.0,grass,185,61,116,20.0,67,654
Cameroon,Defender,1906.0,grass,191,61,116,22.0,85,654
France,Attacker,1906.0,grass,175,61,116,21.0,63,654
France,Defender,1906.0,grass,183,61,116,21.0,78,654
Colombia,Defender,1906.0,grass,172,61,116,30.0,70,654
France,Attacker,1906.0,grass,170,61,116,28.0,65,654
Poland,Midfielder,1906.0,grass,175,61,116,28.0,70,654
Norway,Midfielder,1906.0,grass,178,61,116,26.0,86,654
Korea Republic,Attacker,1986.0,grass,190,61,110,31.0,82,684
France,Goalkeeper,1986.0,grass,190,61,110,23.0,75,684
France,Defender,1986.0,grass,183,61,110,19.0,74,684
