player_nationality,games_position,team_founded,venue_surface,league_id,team_id,venue_id,player_weight
Greece,Goalkeeper,1944.0,grass,61,79,19207,79
France,Midfielder,1944.0,grass,61,79,19207,65
France,Defender,1944.0,grass,61,79,19207,69
France,Midfielder,1944.0,grass,61,79,19207,67
Portugal,Attacker,1944.0,grass,61,79,19207,66
Türkiye,Attacker,1944.0,grass,61,79,19207,80
Netherlands,Defender,1944.0,grass,61,79,19207,81
Croatia,Defender,1944.0,grass,61,79,19207,69
France,Midfielder,1944.0,grass,61,79,19207,67
Belgium,Midfielder,1944.0,grass,61,79,19207,76
France,Attacker,1944.0,grass,61,79,19207,69
Senegal,Midfielder,1944.0,grass,61,79,19207,83
Türkiye,Defender,1944.0,grass,61,79,19207,78
France,Goalkeeper,1944.0,grass,61,79,19207,89
Türkiye,Midfielder,1944.0,grass,61,79,19207,74
Angola,Attacker,1944.0,grass,61,79,19207,63
Mexico,Midfielder,1944.0,grass,61,79,19207,74
Côte d'Ivoire,Defender,1944.0,grass,61,79,19207,75
Croatia,Goalkeeper,1944.0,grass,61,79,19207,83
Mozambique,Defender,1944.0,grass,61,79,19207,73
Portugal,Midfielder,1944.0,grass,61,79,19207,70
Cameroon,Midfielder,1944.0,grass,61,79,19207,76
Portugal,Midfielder,1944.0,grass,61,79,19207,80
France,Defender,1944.0,grass,61,79,19207,76
Portugal,Defender,1944.0,grass,61,79,19207,73
Portugal,Defender,1944.0,grass,61,79,19207,81
Slovakia,Goalkeeper,1944.0,grass,61,79,19207,85
France,Defender,1944.0,grass,61,79,19207,75
England,Midfielder,1944.0,grass,61,79,19207,56
USA,Attacker,1944.0,grass,61,79,19207,66
France,Midfielder,1944.0,grass,61,79,19207,76
Canada,Attacker,1944.0,grass,61,79,19207,70
Côte d'Ivoire,Attacker,1944.0,grass,61,79,19207,72
Kosovo,Midfielder,1944.0,grass,61,79,19207,66
France,Midfielder,1944.0,grass,61,79,19207,74
Burkina Faso,Attacker,1944.0,grass,61,79,19207,75
France,Midfielder,1944.0,grass,61,79,19207,74
Cameroon,Midfielder,1944.0,grass,61,79,19207,75
France,Midfielder,1944.0,grass,61,79,19207,70
Brazil,Attacker,1944.0,grass,61,79,19207,70
Sweden,Defender,1944.0,grass,61,79,19207,74
Brazil,Goalkeeper,1944.0,grass,61,79,19207,82
France,Attacker,1881.0,grass,61,78,638,84
France,Defender,1881.0,grass,61,78,638,75
Guinea,Attacker,1881.0,grass,61,78,638,78
France,Defender,1881.0,grass,61,78,638,64
Spain,Midfielder,1881.0,grass,61,78,638,69
France,Midfielder,1881.0,grass,61,78,638,77
Togo,Defender,1881.0,grass,61,78,638,80
Algeria,Defender,1881.0,grass,61,78,638,85
France,Midfielder,1881.0,grass,61,78,638,73
France,Midfielder,1881.0,grass,61,78,638,73
France,Attacker,1881.0,grass,61,78,638,79
Italy,Defender,1881.0,grass,61,78,638,82
Nigeria,Attacker,1881.0,grass,61,78,638,74
Bosnia and Herzegovina,Defender,1881.0,grass,61,78,638,84
France,Attacker,1881.0,grass,61,78,638,69
Switzerland,Defender,1881.0,grass,61,78,638,80
Togo,Attacker,1881.0,grass,61,78,638,65
Brazil,Defender,1881.0,grass,61,78,638,85
Croatia,Midfielder,1881.0,grass,61,78,638,80
Netherlands,Attacker,1881.0,grass,61,78,638,74
Guadeloupe,Goalkeeper,1881.0,grass,61,78,638,75
France,Goalkeeper,1881.0,grass,61,78,638,76
France,Defender,1881.0,grass,61,78,638,75
France,Defender,1881.0,grass,61,78,638,85
Mozambique,Defender,1881.0,grass,61,78,638,79
Algeria,Midfielder,1881.0,grass,61,78,638,58
France,Defender,1881.0,grass,61,78,638,80
Honduras,Attacker,1881.0,grass,61,78,638,77
Cameroon,Midfielder,1881.0,grass,61,78,638,76
France,Goalkeeper,1881.0,grass,61,78,638,84
Cameroon,Defender,1881.0,grass,61,78,638,78
France,Goalkeeper,1881.0,grass,61,78,638,80
France,Defender,1881.0,grass,61,78,638,80
Gabon,Defender,1881.0,grass,61,78,638,74
France,Defender,1881.0,grass,61,78,638,66
Nigeria,Attacker,1881.0,grass,61,78,638,78
Brazil,Midfielder,1881.0,grass,61,78,638,85
Ukraine,Midfielder,1881.0,grass,61,78,638,84
France,Attacker,1881.0,grass,61,78,638,75
France,Midfielder,1881.0,grass,61,78,638,76
Mali,Midfielder,1881.0,grass,61,78,638,67
France,Goalkeeper,1881.0,grass,61,78,638,88
Senegal,Attacker,1881.0,grass,61,78,638,75
Ghana,Defender,1881.0,grass,61,78,638,70
Portugal,Defender,1881.0,grass,61,78,638,66
Brazil,Midfielder,1881.0,grass,61,78,638,73
Korea Republic,Attacker,1881.0,grass,61,78,638,78
Norway,Defender,1881.0,grass,61,78,638,83
France,Defender,1920.0,grass,61,1063,676,89
France,Defender,1920.0,grass,61,1063,676,84
Algeria,Midfielder,1920.0,grass,61,1063,676,70
Greece,Defender,1920.0,grass,61,1063,676,74
Cameroon,Midfielder,1920.0,grass,61,1063,676,63
France,Defender,1920.0,grass,61,1063,676,75
France,Attacker,1920.0,grass,61,1063,676,79
France,Attacker,1920.0,grass,61,1063,676,60
France,Attacker,1920.0,grass,61,1063,676,73
France,Defender,1920.0,grass,61,1063,676,65
Senegal,Midfielder,1920.0,grass,61,1063,676,68
France,Midfielder,1920.0,grass,61,1063,676,81
Brazil,Defender,1920.0,grass,61,1063,676,75
Cameroon,Defender,1920.0,grass,61,1063,676,75
Algeria,Goalkeeper,1920.0,grass,61,1063,676,75
France,Attacker,1920.0,grass,61,1063,676,67
France,Defender,1920.0,grass,61,1063,676,78
Senegal,Midfielder,1920.0,grass,61,1063,676,71
Mali,Attacker,1920.0,grass,61,1063,676,85
Cameroon,Defender,1920.0,grass,61,1063,676,74
France,Midfielder,1920.0,grass,61,1063,676,81
Mali,Defender,1920.0,grass,61,1063,676,65
France,Attacker,1920.0,grass,61,1063,676,70
Tunisia,Attacker,1920.0,grass,61,1063,676,80
France,Defender,1920.0,grass,61,1063,676,74
France,Goalkeeper,1920.0,grass,61,1063,676,84
France,Goalkeeper,1920.0,grass,61,1063,676,78
Senegal,Midfielder,1920.0,grass,61,1063,676,75
France,Midfielder,1920.0,grass,61,1063,676,73
France,Midfielder,1920.0,grass,61,1063,676,72
France,Attacker,1920.0,grass,61,1063,676,61
Côte d'Ivoire,Defender,1920.0,grass,61,1063,676,74
France,Attacker,1920.0,grass,61,1063,676,76
France,Midfielder,1920.0,grass,61,1063,676,72
France,Defender,1920.0,grass,61,1063,676,81
France,Midfielder,1920.0,grass,61,1063,676,71
England,Goalkeeper,1920.0,grass,61,1063,676,76
France,Defender,1920.0,grass,61,1063,676,64
France,Midfielder,1920.0,grass,61,1063,676,70
Guinea,Defender,1920.0,grass,61,1063,676,75
Senegal,Goalkeeper,1920.0,grass,61,1063,676,80
France,Midfielder,1920.0,grass,61,1063,676,75
France,Defender,1920.0,grass,61,1063,676,72
Côte d'Ivoire,Attacker,1920.0,grass,61,1063,676,80
France,Attacker,1920.0,grass,61,1063,676,68
Peru,Defender,1920.0,grass,61,1063,676,62
Gabon,Attacker,1920.0,grass,61,1063,676,70
Uruguay,Attacker,1920.0,grass,61,1063,676,76
Mali,Attacker,1943.0,grass,61,83,662,84
Mali,Defender,1943.0,grass,61,83,662,87
France,Attacker,1943.0,grass,61,83,662,86
France,Attacker,1943.0,grass,61,83,662,77
Belgium,Attacker,1943.0,grass,61,83,662,73
France,Midfielder,1943.0,grass,61,83,662,77
Guinea,Defender,1943.0,grass,61,83,662,75
France,Attacker,1943.0,grass,61,83,662,72
France,Attacker,1943.0,grass,61,83,662,69
France,Midfielder,1943.0,grass,61,83,662,75
Belgium,Attacker,1943.0,grass,61,83,662,72
Ghana,Midfielder,1943.0,grass,61,83,662,66
France,Defender,1943.0,grass,61,83,662,74
France,Defender,1943.0,grass,61,83,662,69
Cameroon,Defender,1943.0,grass,61,83,662,79
France,Goalkeeper,1943.0,grass,61,83,662,74
France,Defender,1943.0,grass,61,83,662,89
Mali,Defender,1943.0,grass,61,83,662,74
Brazil,Defender,1943.0,grass,61,83,662,79
Congo DR,Midfielder,1943.0,grass,61,83,662,72
Slovenia,Goalkeeper,1943.0,grass,61,83,662,80
France,Midfielder,1943.0,grass,61,83,662,70
France,Goalkeeper,1943.0,grass,61,83,662,82
Spain,Midfielder,1943.0,grass,61,83,662,66
France,Defender,1943.0,grass,61,83,662,78
France,Midfielder,1943.0,grass,61,83,662,70
France,Midfielder,1943.0,grass,61,83,662,70
Nigeria,Attacker,1943.0,grass,61,83,662,66
France,Attacker,1943.0,grass,61,83,662,79
France,Midfielder,1943.0,grass,61,83,662,70
France,Midfielder,1943.0,grass,61,83,662,71
France,Defender,1943.0,grass,61,83,662,68
France,Attacker,1943.0,grass,61,83,662,74
France,Midfielder,1943.0,grass,61,83,662,70
Brazil,Defender,1943.0,grass,61,83,662,66
Morocco,Midfielder,1943.0,grass,61,83,662,65
France,Defender,1926.0,artificial turf,61,97,656,76
