player_id,player_name,player_firstname,player_lastname,player_age,player_birth_date,player_birth_place,player_birth_country,player_nationality,player_height,player_weight,player_injured,player_photo,league_id,season_id
90,D. Benaglio,Diego Orlando,Benaglio,38.0,1983-09-08,Zürich,Switzerland,Switzerland,194 cm,89 kg,False,https://media-2.api-sports.io/football/players/90.png,61,2019
93,S. Sy,Seydou,Sy,26.0,1995-12-12,Dakar,Senegal,Senegal,192 cm,84 kg,False,https://media-2.api-sports.io/football/players/93.png,61,2019
100,Andrea Raggi,Andrea,Raggi,35.0,1984-06-24,La Spezia,Italy,Italy,187 cm,82 kg,False,https://media-3.api-sports.io/football/players/100.png,61,2019
1013,G. Sertic,Grégory,Sertic,31.0,1989-08-05,Brétigny sur Orge,France,France,183 cm,76 kg,False,https://media-1.api-sports.io/football/players/1013.png,61,2019
1263,Maxime Poundjé,Maxime,Poundjé,30.0,1992-08-16,Bordeaux,France,France,180 cm,74 kg,False,https://media-2.api-sports.io/football/players/1263.png,61,2019
1273,Jimmy Briand,Jimmy,Briand,37.0,1985-08-02,Vitry sur Seine,France,France,181 cm,84 kg,False,https://media-3.api-sports.io/football/players/1273.png,61,2019
2041,J. Gnagnon,Joris,Gnagnon,25.0,1997-01-13,Bondy,France,France,182 cm,89 kg,False,https://media-1.api-sports.io/football/players/2041.png,61,2019
2212,J. Johansson,Jakob,Johansson,31.0,1990-06-21,Trollhättan,Sweden,Sweden,188 cm,87 kg,False,https://media-3.api-sports.io/football/players/2212.png,61,2019
21099,Rene Krhin,Rene,Krhin,32.0,1990-05-21,Maribor,Slovenia,Slovenia,189 cm,80 kg,False,https://media-3.api-sports.io/football/players/21099.png,61,2019
21571,Hilton,Vitorino,Hilton da Silva,44.0,1977-09-13,Brasília,Brazil,Brazil,180 cm,78 kg,False,https://media-2.api-sports.io/football/players/21571.png,61,2019
21590,S. Camara,Souleymane,Camara,39.0,1982-12-22,Dakar,Senegal,Senegal,173 cm,74 kg,False,https://media-2.api-sports.io/football/players/21590.png,61,2019
21594,Petar Škuletić,Petar,Škuletić,32.0,1990-06-29,Danilovgrad,Serbia,Serbia,193 cm,89 kg,False,https://media-2.api-sports.io/football/players/21594.png,61,2019
21706,F. Balmont,Florent,Balmont,41.0,1980-02-02,Sainte-Foy-lès-Lyon,France,France,168 cm,72 kg,False,https://media-2.api-sports.io/football/players/21706.png,61,2019
21708,J. Keita,Abdoulaye Jules,Keita,24.0,1998-07-20,Conakry,Guinea,Guinea,168 cm,58 kg,False,https://media-2.api-sports.io/football/players/21708.png,61,2019
22018,Hyun-Jun Suk,Hyun-Jun,Suk,31.0,1991-06-29,Chungju,Korea Republic,Korea Republic,190 cm,82 kg,False,https://media-1.api-sports.io/football/players/22018.png,61,2019
22083,S. Ruffier,Stéphane,Ruffier,35.0,1986-09-27,Bayonne,France,France,188 cm,93 kg,False,https://media-2.api-sports.io/football/players/22083.png,61,2019
22088,L. Perrin,Loïc,Perrin,36.0,1985-08-07,Saint-Etienne,France,France,181 cm,80 kg,False,https://media-1.api-sports.io/football/players/22088.png,61,2019
87259,M. Yanga-Mbiwa,Mapou,Yanga-Mbiwa,31.0,1989-05-15,Bangui,Central African Republic,France,184 cm,77 kg,False,https://media-2.api-sports.io/football/players/87259.png,61,2019
90488,Y. Cabaye,Yohan,Cabaye,35.0,1986-01-14,Tourcoing,France,France,174 cm,71 kg,False,https://media-3.api-sports.io/football/players/90488.png,61,2019
157144,Percy Prado Ruiz,Percy,Prado Ruiz,25.0,1996-01-14,Huaral,Peru,Peru,,,False,https://media-1.api-sports.io/football/players/157144.png,61,2019
94,Naldo,Ronaldo,Aparecido Rodrigues,39.0,1982-09-10,Londrina,Brazil,Brazil,198 cm,91 kg,False,https://media-3.api-sports.io/football/players/94.png,61,2019
141,Moussa Wagué,Moussa,Wagué,24.0,1998-10-04,Bignona,Senegal,Senegal,177 cm,70 kg,False,https://media-1.api-sports.io/football/players/141.png,61,2019
1268,A. Lottin,Albert-Nicolas,Lottin,22.0,2001-08-29,Paris,France,France,181 cm,74 kg,False,https://media-3.api-sports.io/football/players/1268.png,61,2019
1898,Y. Pelé,Yohann,Pelé,39.0,1982-11-04,Brou-sur-Chantereine,France,France,196 cm,89 kg,False,https://media-2.api-sports.io/football/players/1898.png,61,2019
3344,Kalifa Coulibaly,Kalifa,Coulibaly,32.0,1991-08-21,Bamako,Mali,Mali,197 cm,84 kg,False,https://media-1.api-sports.io/football/players/3344.png,61,2019
3416,John Boye,John,Boye,35.0,1987-04-23,Accra,Ghana,Ghana,184 cm,73 kg,False,https://media-1.api-sports.io/football/players/3416.png,61,2019
19295,M. Wagué,Molla,Wagué,31.0,1991-02-21,Verdon,France,Mali,191 cm,87 kg,False,https://media-1.api-sports.io/football/players/19295.png,61,2019
20527,R. Cohade,Renaud,Cohade,37.0,1984-09-29,Aubenas,France,France,181 cm,75 kg,False,https://media-2.api-sports.io/football/players/20527.png,61,2019
20543,G. Belaud,Gaëtan,Belaud,35.0,1986-09-16,Oloron-Sainte-Marie,France,France,178 cm,75 kg,False,https://media-2.api-sports.io/football/players/20543.png,61,2019
20560,Derick Osei Yaw,Derick,Osei Yaw,25.0,1998-09-10,Toulouse,France,France,187 cm,80 kg,False,https://media-1.api-sports.io/football/players/20560.png,61,2019
20940,M. Cabit,Manuel,Cabit,29.0,1993-06-03,Fort de France,Martinique,Martinique,182 cm,75 kg,False,https://media-2.api-sports.io/football/players/20940.png,61,2019
21379,M. Bodmer,Mathieu,Bodmer,39.0,1982-11-22,Evreux,France,France,190 cm,90 kg,False,https://media-2.api-sports.io/football/players/21379.png,61,2019
21380,P. Gouano,Prince-Désir,Gnahoré Gouano,28.0,1993-12-24,Paris,France,France,186 cm,81 kg,False,https://media-2.api-sports.io/football/players/21380.png,61,2019
21572,Ambroise Oyongo Bitolo,Ambroise,Oyongo Bitolo,31.0,1991-06-22,Ndikinimeki,Cameroon,Cameroon,170 cm,68 kg,False,https://media-1.api-sports.io/football/players/21572.png,61,2019
21698,Fouad Chafik,Fouad,Chafik,36.0,1986-10-16,Pierrelatte,France,Morocco,183 cm,72 kg,False,https://media-2.api-sports.io/football/players/21698.png,61,2019
22162,R. Coly,Racine,Coly,27.0,1995-12-08,Dakar,Senegal,Senegal,185 cm,70 kg,False,https://media-1.api-sports.io/football/players/22162.png,61,2019
22226,Jérémy Pied,Jérémy,Pied,33.0,1989-02-23,Grenoble,France,France,173 cm,69 kg,False,https://media-1.api-sports.io/football/players/22226.png,61,2019
22253,Benjamin Corgnet,Benjamin,Corgnet,35.0,1987-04-06,Thionville,France,France,180 cm,73 kg,False,https://media-3.api-sports.io/football/players/22253.png,61,2019
47436,R. Boudebouz,Ryad,Boudebouz,32.0,1990-02-19,Colmar,France,Algeria,177 cm,70 kg,False,https://media-1.api-sports.io/football/players/47436.png,61,2019
50219,Aurélien Bayard Chedjou Fongang,Aurélien Bayard,Chedjou Fongang,36.0,1985-06-20,Douala,Cameroon,Cameroon,184 cm,86 kg,False,https://media-3.api-sports.io/football/players/50219.png,61,2019
114,Adrien Silva,Adrien Sébastien,Perruchet da Silva,34.0,1989-03-15,Angoulême,France,Portugal,171 cm,72 kg,False,https://media-2.api-sports.io/football/players/114.png,61,2019
1443,Laurent Koscielny,Laurent,Koscielny,37.0,1985-09-10,Tulle,France,France,186 cm,75 kg,False,https://media-3.api-sports.io/football/players/1443.png,61,2019
3432,A. Waris,Abdul Majeed,Waris,32.0,1991-09-19,Tamale,Ghana,Ghana,172 cm,71 kg,False,https://media-2.api-sports.io/football/players/3432.png,61,2019
20524,S. Sunzu,Stoppila,Sunzu,34.0,1989-06-22,Chililabombwe,Zambia,Zambia,192 cm,95 kg,False,https://media-2.api-sports.io/football/players/20524.png,61,2019
20552,Thomas Ayasse,Thomas,Ayasse,32.0,1987-02-17,Toulouse,France,France,183 cm,75 kg,False,https://media-1.api-sports.io/football/players/20552.png,61,2019
20582,V. Marcel,Vincent,Marcel,26.0,1997-04-09,,France,France,180 cm,,False,https://media-1.api-sports.io/football/players/20582.png,61,2019
21084,J. Homawoo,Josué,Homawoo,26.0,1997-11-12,Lomé,Togo,Togo,191 cm,,False,https://media-3.api-sports.io/football/players/21084.png,61,2019
21136,L. Butelle,Ludovic,Butelle,40.0,1983-04-03,Reims,France,France,188 cm,84 kg,False,https://media-2.api-sports.io/football/players/21136.png,61,2019
21157,M. Soula,Mazire,Soula,25.0,1998-06-06,,France,France,,,False,https://media-1.api-sports.io/football/players/21157.png,61,2019
21444,P. Valdivia,Pierrick,Valdivia,33.0,1988-04-18,Paris,France,France,185 cm,70 kg,False,https://media-3.api-sports.io/football/players/21444.png,61,2019
21446,A. Bobichon,Antonin,Bobichon,28.0,1995-09-14,,France,France,178 cm,72 kg,False,https://media-1.api-sports.io/football/players/21446.png,61,2019
21700,W. Lautoa,Wesley,Lautoa,34.0,1987-08-25,Ëpernay,France,France,184 cm,87 kg,False,https://media-1.api-sports.io/football/players/21700.png,61,2019
21704,M. Abeid,Mehdi,Abeid,31.0,1992-08-06,Montreuil,France,Algeria,181 cm,81 kg,False,https://media-2.api-sports.io/football/players/21704.png,61,2019
22017,V. Pinson,Virgile Jacky Marcel,Pinson,27.0,1996-02-22,,France,France,177 cm,,False,https://media-3.api-sports.io/football/players/22017.png,61,2019
22131,M. Goicoechea,Mauro Daniel,Goicoechea Furia,35.0,1988-03-27,Montevideo,Uruguay,Uruguay,186 cm,82 kg,False,https://media-2.api-sports.io/football/players/22131.png,61,2019
22144,M. Dossevi,Mathieu,Cangni Dossevi,35.0,1988-02-12,Chambray-lès-Tours,France,Togo,172 cm,65 kg,False,https://media-2.api-sports.io/football/players/22144.png,61,2019
80233,V. Stojanovski,Vlatko,Stojanovski,26.0,1997-04-23,Delčevo,North Macedonia,North Macedonia,186 cm,75 kg,False,https://media-2.api-sports.io/football/players/80233.png,61,2019
129683,S. Sanna,Sam,Sanna,24.0,1999-03-08,Lourdes,France,France,170 cm,65 kg,False,https://media-1.api-sports.io/football/players/129683.png,61,2019
129693,R. Philippe,Rayan,Philippe,23.0,2000-10-23,Nice,France,France,177 cm,76 kg,False,https://media-3.api-sports.io/football/players/129693.png,61,2019
182311,L. Lacroix,Lenny Stéphane,Lacroix,20.0,2003-02-06,Strasbourg,France,France,,,False,https://media-2.api-sports.io/football/players/182311.png,61,2019
649,J. Denayer,Jason Grégory Marianne,Denayer,28.0,1995-06-28,Jette,Belgium,Belgium,184 cm,70 kg,False,https://media-2.api-sports.io/football/players/649.png,61,2019
2718,R. Alioui,Rachid,Alioui,31.0,1992-06-18,La Rochelle,France,Morocco,186 cm,81 kg,False,https://media-2.api-sports.io/football/players/2718.png,61,2019
2959,B. Srarfi,Bassem,Srarfi,26.0,1997-06-25,Tunis,Tunisia,Tunisia,176 cm,71 kg,False,https://media-1.api-sports.io/football/players/2959.png,61,2019
3380,D. Kiki,Enagnon David,Kiki,30.0,1993-11-25,Vakaon,Benin,Benin,180 cm,76 kg,False,https://media-3.api-sports.io/football/players/3380.png,61,2019
8667,P. N&apos;Guinda,Pierre-Daniel,N'Guinda N'Diffon,27.0,1996-06-18,Douala,Cameroon,Cameroon,184 cm,80 kg,False,https://media-2.api-sports.io/football/players/8667.png,61,2019
20533,O. Nguette,Opa,Nguette,29.0,1994-07-08,Mantes-la-Jolie,France,Senegal,183 cm,81 kg,False,https://media-3.api-sports.io/football/players/20533.png,61,2019
21388,C. Timite,Cheick Aymar,Timité,25.0,1997-11-20,Abidjan,Côte d'Ivoire,Côte d'Ivoire,180 cm,79 kg,False,https://media-1.api-sports.io/football/players/21388.png,61,2019
21391,Q. Cornette,Quentin,Cornette,29.0,1994-01-17,La Ciotat,France,France,172 cm,75 kg,False,https://media-3.api-sports.io/football/players/21391.png,61,2019
21433,F. Miguel,Florian,Miguel,27.0,1996-09-01,Brugge,France,France,179 cm,70 kg,False,https://media-1.api-sports.io/football/players/21433.png,61,2019
21652,C. Ninga,Rodrigue Casimir,Ninga,30.0,1993-05-17,N'Djamena,Chad,Chad,186 cm,81 kg,False,https://media-2.api-sports.io/football/players/21652.png,61,2019
22009,N. Mbemba,Nolan Jean Pierre,Mbemba Batina,28.0,1995-02-19,Amiens,France,Congo,181 cm,72 kg,False,https://media-3.api-sports.io/football/players/22009.png,61,2019
22246,L. Koné,Lamine,Koné,34.0,1989-02-01,Paris,France,Côte d'Ivoire,189 cm,90 kg,False,https://media-2.api-sports.io/football/players/22246.png,61,2019
22248,P. Martínez,Pablo Jean Antoine,Martínez,34.0,1989-02-21,Martigues,France,France,182 cm,77 kg,False,https://media-2.api-sports.io/football/players/22248.png,61,2019
22266,S. Grandsir,Samuel,Grandsir,27.0,1996-08-14,Evreux,France,France,170 cm,65 kg,False,https://media-2.api-sports.io/football/players/22266.png,61,2019
24157,B. Ndilu,Bridge,Ndilu,23.0,2000-07-21,Le Mans,France,France,186 cm,86 kg,False,https://media-3.api-sports.io/football/players/24157.png,61,2019
47312,Rubén Pardo,Rubén,Pardo Gutiérrez,31.0,1992-10-22,Logroño,Spain,Spain,181 cm,69 kg,False,https://media-2.api-sports.io/football/players/47312.png,61,2019
64255,G. Lloris,Gautier,Lloris,28.0,1995-07-18,Nice,France,France,192 cm,87 kg,False,https://media-2.api-sports.io/football/players/64255.png,61,2019
85999,V. Rabouille,Valentin,Rabouille,23.0,2000-04-15,,France,France,,,False,https://media-1.api-sports.io/football/players/85999.png,61,2019
119690,V.  Postolachi,Virgiliu,Postolachi,23.0,2000-03-17,Edineț,Moldova,Moldova,163 cm,,False,https://media-3.api-sports.io/football/players/119690.png,61,2019
131493,A. Gameiro,Alexandre,Gameiro da Conceicao,24.0,1999-01-18,Cannes,France,France,174 cm,67 kg,False,https://media-2.api-sports.io/football/players/131493.png,61,2019
7,A. Diallo,Abdou-Lakhad,Diallo,27.0,1996-05-04,Tours,France,Senegal,187 cm,79 kg,False,https://media-2.api-sports.io/football/players/7.png,61,2019
92,D. Subašić,Danijel,Subašić,39.0,1984-10-27,Zadar,Croatia,Croatia,191 cm,84 kg,False,https://media-2.api-sports.io/football/players/92.png,61,2019
95,B. Badiashile,Benoît Ntambue,Badiashile Mukinayi Baya,22.0,2001-03-26,Limoges,France,France,194 cm,75 kg,False,https://media-2.api-sports.io/football/players/95.png,61,2019
259,Thiago Silva,Thiago,Emiliano da Silva,39.0,1984-09-22,Rio de Janeiro,Brazil,Brazil,183 cm,79 kg,False,https://media-3.api-sports.io/football/players/259.png,61,2019
264,T. Meunier,Thomas André,Meunier,32.0,1991-09-12,Sainte-Ode,Belgium,Belgium,191 cm,90 kg,False,https://media-3.api-sports.io/football/players/264.png,61,2019
275,E. Choupo-Moting,Eric Maxim,Choupo-Moting,34.0,1989-03-23,Hamburg,Germany,Cameroon,191 cm,90 kg,False,https://media-3.api-sports.io/football/players/275.png,61,2019
1267,Y. Benrahou,Yassine Otmane,Benrahou,24.0,1999-01-24,Blanc-Mesnil,France,Morocco,170 cm,68 kg,False,https://media-3.api-sports.io/football/players/1267.png,61,2019
1915,B. Sarr,Bouna Junior,Sarr,31.0,1992-01-31,Lyon,France,Senegal,177 cm,69 kg,False,https://media-2.api-sports.io/football/players/1915.png,61,2019
2758,L. Kalinić,Lovre,Kalinić,33.0,1990-04-03,Split,Croatia,Croatia,201 cm,96 kg,False,https://media-1.api-sports.io/football/players/2758.png,61,2019
2986,É. Mendy,Édouard Osoque,Mendy,31.0,1992-03-01,Montivilliers,France,Senegal,194 cm,86 kg,False,https://media-3.api-sports.io/football/players/2986.png,61,2019
7577,D. Maresic,Dario,Maresic,24.0,1999-09-29,Graz,Austria,Austria,183 cm,74 kg,False,https://media-1.api-sports.io/football/players/7577.png,61,2019
20553,C. Battocchio,Cristian Damián,Battocchio,31.0,1992-02-10,Rosario,Argentina,Italy,169 cm,64 kg,False,https://media-1.api-sports.io/football/players/20553.png,61,2019
21107,É. Youan,Thody Élie,Youan,24.0,1999-04-07,Nantes,France,France,183 cm,70 kg,False,https://media-2.api-sports.io/football/players/21107.png,61,2019
22094,W. Fofana,Wesley Tidjan,Fofana,23.0,2000-12-17,,France,France,190 cm,84 kg,False,https://media-1.api-sports.io/football/players/22094.png,61,2019
22244,A. Caci,Anthony,Caci,26.0,1997-07-01,Forbach,France,France,184 cm,76 kg,False,https://media-3.api-sports.io/football/players/22244.png,61,2019
22250,M. Simakan,Mohamed,Simakan,23.0,2000-05-03,Marseille,France,France,187 cm,82 kg,False,https://media-1.api-sports.io/football/players/22250.png,61,2019
22264,L. Ajorque,Ludovic,Ajorque,29.0,1994-02-25,Saint-Denis,Réunion,France,197 cm,82 kg,False,https://media-1.api-sports.io/football/players/22264.png,61,2019
26313,A. Donis,Anastasios,Donis,27.0,1996-08-29,Blackburn,England,Greece,178 cm,76 kg,False,https://media-3.api-sports.io/football/players/26313.png,61,2019
48154,J. Lahne,Jack Daniel,Kalichi Lahne,22.0,2001-10-24,Lusaka,Zambia,Sweden,174 cm,,False,https://media-3.api-sports.io/football/players/48154.png,61,2019
125704,A. Lebeau,Adrien,Lebeau,24.0,1999-07-08,Metz,France,France,175 cm,67 kg,False,https://media-3.api-sports.io/football/players/125704.png,61,2019
270,S. Nsoki,Stanley Pierre,Nsoki,24.0,1999-04-09,Poissy,France,France,184 cm,77 kg,False,https://media-3.api-sports.io/football/players/270.png,61,2019
550,K. Dolberg,Kasper,Dolberg Rasmussen,26.0,1997-10-06,Silkeborg,Denmark,Denmark,186 cm,82 kg,False,https://media-3.api-sports.io/football/players/550.png,61,2019
664,L. Tousart,Lucas Simon Pierre,Tousart,26.0,1997-04-29,Arras,France,France,185 cm,83 kg,False,https://media-1.api-sports.io/football/players/664.png,61,2019
780,S. Nzonzi,Steven N'Kemboanza Mike Christ,Nzonzi,35.0,1988-12-15,Colombes,France,France,196 cm,75 kg,False,https://media-3.api-sports.io/football/players/780.png,61,2019
1275,N. de Préville,Nicolas,de Préville,32.0,1991-01-08,Chambray-lès-Tours,France,France,177 cm,77 kg,False,https://media-3.api-sports.io/football/players/1275.png,61,2019
1615,Gil Dias,Gil,Bastião Dias,27.0,1996-09-28,Gafanha da Nazaré,Portugal,Portugal,183 cm,75 kg,False,https://media-1.api-sports.io/football/players/1615.png,61,2019
1980,N. Isimat-Mirin,Nicolas Johnny,Isimat-Mirin,32.0,1991-11-15,Meudon,France,France,187 cm,82 kg,False,https://media-3.api-sports.io/football/players/1980.png,61,2019
2192,T. Koubek,Tomáš,Koubek,31.0,1992-08-26,Hradec Králové,Czech Republic,Czech Republic,197 cm,98 kg,False,https://media-1.api-sports.io/football/players/2192.png,61,2019
3024,N. Muzinga,Glody,Ngonda Muzinga,29.0,1994-12-31,,Congo DR,Congo DR,182 cm,,False,https://media-2.api-sports.io/football/players/3024.png,61,2019
8683,I. Cardona,Irvin,Cardona,26.0,1997-08-08,Nîmes,France,France,185 cm,76 kg,False,https://media-1.api-sports.io/football/players/8683.png,61,2019
20526,F. Boulaya,Farid,Boulaya,30.0,1993-02-25,Vitrolles,France,Algeria,179 cm,70 kg,False,https://media-1.api-sports.io/football/players/20526.png,61,2019
21155,W. Kanga,Aka Wilfried,Kanga,25.0,1998-02-21,Montreuil,France,Côte d'Ivoire,185 cm,76 kg,False,https://media-1.api-sports.io/football/players/21155.png,61,2019
21393,S. Guirassy,Serhou Yadaly,Guirassy,27.0,1996-03-12,Arles,France,Guinea,187 cm,82 kg,False,https://media-2.api-sports.io/football/players/21393.png,61,2019
21570,N. Cozza,Nicolas Louis Marcel,Cozza,24.0,1999-01-08,Ganges,France,France,178 cm,72 kg,False,https://media-1.api-sports.io/football/players/21570.png,61,2019
22086,T. Kolodziejczak,Timothée,Kolodziejczak,32.0,1991-10-01,Arras,France,France,185 cm,75 kg,False,https://media-3.api-sports.io/football/players/22086.png,61,2019
22147,K. Koné,Kouadio Emmanuel,Koné,22.0,2001-05-17,Colombes,France,France,185 cm,80 kg,False,https://media-3.api-sports.io/football/players/22147.png,61,2019
22148,N. Ngoumou,Nathan,Ngoumou Minpole,23.0,2000-03-14,Toulouse,France,France,182 cm,70 kg,False,https://media-3.api-sports.io/football/players/22148.png,61,2019
25130,H. Duljević,Haris,Duljević,30.0,1993-11-16,Sarajevo,Bosnia and Herzegovina,Bosnia and Herzegovina,185 cm,85 kg,False,https://media-2.api-sports.io/football/players/25130.png,61,2019
53678,A. Rogel,Agustín Maximiliano,Rogel Paita,26.0,1997-10-17,Montevideo,Uruguay,Uruguay,190 cm,84 kg,False,https://media-1.api-sports.io/football/players/53678.png,61,2019
129670,N. Mbuku,Nathanaël,Mbuku,21.0,2002-03-16,Villeneuve-Saint-Georges,France,France,170 cm,65 kg,False,https://media-2.api-sports.io/football/players/129670.png,61,2019
105,F. Ballo,Fodé,Ballo-Touré,26.0,1997-01-03,Conflans-Sainte-Honorine,France,Senegal,182 cm,70 kg,False,https://media-2.api-sports.io/football/players/105.png,61,2019
123,P. Pellegri,Pietro,Pellegri,22.0,2001-03-17,Genova,Italy,Italy,196 cm,78 kg,False,https://media-2.api-sports.io/football/players/123.png,61,2019
1265,Y. Adli,Yacine Zinedine,Adli,23.0,2000-07-29,Vitry-sur-Seine,France,France,186 cm,73 kg,False,https://media-1.api-sports.io/football/players/1265.png,61,2019
1635,T. Bakayoko,Tiémoué,Bakayoko,29.0,1994-08-17,Paris,France,France,185 cm,77 kg,False,https://media-2.api-sports.io/football/players/1635.png,61,2019
2780,V. Osimhen,Victor James,Osimhen,25.0,1998-12-29,Lagos,Nigeria,Nigeria,185 cm,78 kg,False,https://media-2.api-sports.io/football/players/2780.png,61,2019
2990,I. Gueye,Idrissa Gana,Gueye,34.0,1989-09-26,Dakar,Senegal,Senegal,174 cm,66 kg,False,https://media-2.api-sports.io/football/players/2990.png,61,2019
10135,Bruno Guimarães,Bruno,Guimarães Rodriguez Moura,26.0,1997-11-16,Rio de Janeiro,Brazil,Brazil,182 cm,74 kg,False,https://media-1.api-sports.io/football/players/10135.png,61,2019
20622,D. Petković,Danijel,Petković,30.0,1993-05-25,Kotor,Montenegro,Montenegro,197 cm,86 kg,False,https://media-3.api-sports.io/football/players/20622.png,61,2019
20691,S. Yago,Steeve Farid,Yago,31.0,1992-12-16,Sarcelles,France,Burkina Faso,178 cm,77 kg,False,https://media-1.api-sports.io/football/players/20691.png,61,2019
21081,C. Tătărușanu,Anton Ciprian,Tătărușanu,37.0,1986-02-09,București,Romania,Romania,198 cm,90 kg,False,https://media-1.api-sports.io/football/players/21081.png,61,2019
21431,L. Landre,Loïck,Landre,31.0,1992-05-05,Aubervilliers,France,France,182 cm,75 kg,False,https://media-3.api-sports.io/football/players/21431.png,61,2019
22103,K. Monnet-Paquet,Kévin,Monnet-Paquet,35.0,1988-08-19,Bourgoin-Jallieu,France,France,184 cm,81 kg,False,https://media-3.api-sports.io/football/players/22103.png,61,2019
22134,K. Amian,Kelvin,Amian Adou,25.0,1998-02-08,Toulouse,France,France,180 cm,78 kg,False,https://media-2.api-sports.io/football/players/22134.png,61,2019
22221,M. Maignan,Mike Peterson,Maignan,28.0,1995-07-03,Cayenne,Guyana,France,191 cm,89 kg,False,https://media-3.api-sports.io/football/players/22221.png,61,2019
22227,A. Soumaoro,Bakary Adama,Soumaoro,31.0,1992-06-18,Fontenay-aux-Roses,France,France,186 cm,93 kg,False,https://media-2.api-sports.io/football/players/22227.png,61,2019
22229,J. Ikoné,Nanitamo Jonathan,Ikoné,25.0,1998-05-02,Bondy,France,France,175 cm,67 kg,False,https://media-1.api-sports.io/football/players/22229.png,61,2019
91422,R. Bellanova,Raoul,Bellanova,23.0,2000-05-17,Rho,Italy,Italy,188 cm,82 kg,False,https://media-3.api-sports.io/football/players/91422.png,61,2019
162188,P. Kalulu,Pierre Kazeye Rommel,Kalulu Kyatengwa,23.0,2000-06-05,Lyon,France,France,179 cm,69 kg,False,https://media-2.api-sports.io/football/players/162188.png,61,2019
163080,G. Innocent,Garissone,Innocent,23.0,2000-04-16,Ivry-sur-Seine,France,France,192 cm,90 kg,False,https://media-2.api-sports.io/football/players/163080.png,61,2019
194750,E. Touré,El Bilal,Touré,22.0,2001-10-03,,Côte d'Ivoire,Mali,185 cm,77 kg,False,https://media-1.api-sports.io/football/players/194750.png,61,2019
98,B. Henrichs,Benjamin Paa Kwesi,Henrichs,26.0,1997-02-23,Bocholt,Germany,Germany,183 cm,79 kg,False,https://media-3.api-sports.io/football/players/98.png,61,2019
108,Cesc Fàbregas,Francesc,Fàbregas i Soler,36.0,1987-05-04,Vilassar de Mar,Spain,Spain,180 cm,77 kg,False,https://media-3.api-sports.io/football/players/108.png,61,2019
1585,Jesé,Jesé,Rodríguez Ruiz,30.0,1993-02-26,Las Palmas de Gran Canaria,Spain,Spain,178 cm,72 kg,False,https://media-1.api-sports.io/football/players/1585.png,61,2019
1910,M. Lopez,Maxime,Lopez,26.0,1997-12-04,Marseille,France,France,167 cm,58 kg,False,https://media-3.api-sports.io/football/players/1910.png,61,2019
1916,K. Strootman,Kevin Johannes,Willem Strootman,33.0,1990-02-13,Ridderkerk,Netherlands,Netherlands,186 cm,78 kg,False,https://media-1.api-sports.io/football/players/1916.png,61,2019
1922,F. Thauvin,Florian Tristán Mariano,Thauvin,30.0,1993-01-26,Orleans,France,France,179 cm,70 kg,False,https://media-2.api-sports.io/football/players/1922.png,61,2019
2945,D. Bronn,Dylan Daniel Mahmoud,Bronn,28.0,1995-06-19,Cannes,France,Tunisia,186 cm,77 kg,False,https://media-1.api-sports.io/football/players/2945.png,61,2019
2985,A. Gomis,Amigo Alfred Benjamin Junior,Gomis,30.0,1993-09-05,Ziguinchor,Senegal,Senegal,196 cm,83 kg,False,https://media-2.api-sports.io/football/players/2985.png,61,2019
14327,D. Bradarić,Domagoj,Bradarić,24.0,1999-12-10,Split,Croatia,Croatia,178 cm,69 kg,False,https://media-2.api-sports.io/football/players/14327.png,61,2019
21103,A. Touré,Abdoulaye,Touré,29.0,1994-03-03,Nantes,France,France,187 cm,77 kg,False,https://media-1.api-sports.io/football/players/21103.png,61,2019
21384,A. Blin,Alexis,Blin,27.0,1996-09-16,Le Mans,France,France,184 cm,78 kg,False,https://media-2.api-sports.io/football/players/21384.png,61,2019
21385,E. Gnahoré,Vhakka Eddy Stelh,Gnahoré,30.0,1993-11-14,Praia,France,France,188 cm,85 kg,False,https://media-3.api-sports.io/football/players/21385.png,61,2019
