id,name,age,number,position,photo,team_id
882,David de Gea,33,1.0,Goalkeeper,https://media-1.api-sports.io/football/players/882.png,33
2931,T. Heaton,37,22.0,Goalkeeper,https://media-1.api-sports.io/football/players/2931.png,33
20319,N. Bishop,24,30.0,Goalkeeper,https://media-1.api-sports.io/football/players/20319.png,33
2930,J. Butland,30,31.0,Goalkeeper,https://media-1.api-sports.io/football/players/2930.png,33
889,V. Lindelöf,29,2.0,Defender,https://media-3.api-sports.io/football/players/889.png,33
888,P. Jones,31,4.0,Defender,https://media-2.api-sports.io/football/players/888.png,33
2935,H. Maguire,30,5.0,Defender,https://media-2.api-sports.io/football/players/2935.png,33
2467,Lisandro Martínez,25,6.0,Defender,https://media-3.api-sports.io/football/players/2467.png,33
37145,T. Malacia,24,12.0,Defender,https://media-3.api-sports.io/football/players/37145.png,33
742,R. Varane,30,19.0,Defender,https://media-1.api-sports.io/football/players/742.png,33
886,Diogo Dalot,24,20.0,Defender,https://media-3.api-sports.io/football/players/886.png,33
891,L. Shaw,28,23.0,Defender,https://media-3.api-sports.io/football/players/891.png,33
18846,A. Wan-Bissaka,26,29.0,Defender,https://media-3.api-sports.io/football/players/18846.png,33
138806,B. Williams,23,33.0,Defender,https://media-1.api-sports.io/football/players/138806.png,33
284363,R. Bennett,20,66.0,Defender,https://media-3.api-sports.io/football/players/284363.png,33
1485,Bruno Fernandes,29,8.0,Midfielder,https://media-2.api-sports.io/football/players/1485.png,33
174,C. Eriksen,31,14.0,Midfielder,https://media-1.api-sports.io/football/players/174.png,33
1159,M. Sabitzer,29,15.0,Midfielder,https://media-1.api-sports.io/football/players/1159.png,33
905,Fred,30,17.0,Midfielder,https://media-2.api-sports.io/football/players/905.png,33
747,Casemiro,31,18.0,Midfielder,https://media-1.api-sports.io/football/players/747.png,33
70078,F. Pellistri,22,28.0,Midfielder,https://media-2.api-sports.io/football/players/70078.png,33
547,D. van de Beek,26,34.0,Midfielder,https://media-3.api-sports.io/football/players/547.png,33
903,S. McTominay,27,39.0,Midfielder,https://media-3.api-sports.io/football/players/903.png,33
284295,Zidane Iqbal,20,55.0,Midfielder,https://media-2.api-sports.io/football/players/284295.png,33
284322,K. Mainoo,18,73.0,Midfielder,https://media-3.api-sports.io/football/players/284322.png,33
908,A. Martial,28,9.0,Attacker,https://media-1.api-sports.io/football/players/908.png,33
909,M. Rashford,26,10.0,Attacker,https://media-1.api-sports.io/football/players/909.png,33
9971,Antony,23,21.0,Attacker,https://media-3.api-sports.io/football/players/9971.png,33
18,J. Sancho,23,25.0,Attacker,https://media-3.api-sports.io/football/players/18.png,33
25416,W. Weghorst,31,27.0,Attacker,https://media-3.api-sports.io/football/players/25416.png,33
153430,A. Elanga,21,36.0,Attacker,https://media-3.api-sports.io/football/players/153430.png,33
284324,A. Garnacho,19,49.0,Attacker,https://media-1.api-sports.io/football/players/284324.png,33
18886,M. Dúbravka,34,1.0,Goalkeeper,https://media-3.api-sports.io/football/players/18886.png,34
1972,L. Karius,30,18.0,Goalkeeper,https://media-1.api-sports.io/football/players/1972.png,34
18911,N. Pope,31,22.0,Goalkeeper,https://media-2.api-sports.io/football/players/18911.png,34
44912,M. Gillespie,31,29.0,Goalkeeper,https://media-3.api-sports.io/football/players/44912.png,34
169,K. Trippier,33,2.0,Defender,https://media-1.api-sports.io/football/players/169.png,34
18892,P. Dummett,32,3.0,Defender,https://media-2.api-sports.io/football/players/18892.png,34
38734,S. Botman,23,4.0,Defender,https://media-3.api-sports.io/football/players/38734.png,34
2806,F. Schär,32,5.0,Defender,https://media-3.api-sports.io/football/players/2806.png,34
18894,J. Lascelles,30,6.0,Defender,https://media-2.api-sports.io/football/players/18894.png,34
19076,J. Lewis,25,12.0,Defender,https://media-1.api-sports.io/football/players/19076.png,34
18941,M. Targett,28,13.0,Defender,https://media-2.api-sports.io/football/players/18941.png,34
2855,E. Krafth,29,17.0,Defender,https://media-1.api-sports.io/football/players/2855.png,34
18896,Javi Manquillo,29,19.0,Defender,https://media-1.api-sports.io/football/players/18896.png,34
18961,D. Burn,31,33.0,Defender,https://media-1.api-sports.io/football/players/18961.png,34
171058,H. Ashby,22,,Defender,https://media-3.api-sports.io/football/players/171058.png,34
18903,M. Ritchie,34,11.0,Midfielder,https://media-3.api-sports.io/football/players/18903.png,34
18873,R. Fraser,29,21.0,Midfielder,https://media-2.api-sports.io/football/players/18873.png,34
19163,J. Murphy,28,23.0,Midfielder,https://media-2.api-sports.io/football/players/19163.png,34
2507,M. Almirón,29,24.0,Midfielder,https://media-2.api-sports.io/football/players/2507.png,34
1463,J. Willock,24,28.0,Midfielder,https://media-1.api-sports.io/football/players/1463.png,34
138908,E. Anderson,21,32.0,Midfielder,https://media-1.api-sports.io/football/players/138908.png,34
18901,S. Longstaff,26,36.0,Midfielder,https://media-3.api-sports.io/football/players/18901.png,34
10135,Bruno Guimarães,26,39.0,Midfielder,https://media-3.api-sports.io/football/players/10135.png,34
328105,L. Miley,17,81.0,Midfielder,https://media-1.api-sports.io/football/players/328105.png,34
130419,M. Longstaff,23,,Midfielder,https://media-3.api-sports.io/football/players/130419.png,34
723,Joelinton,27,7.0,Attacker,https://media-1.api-sports.io/football/players/723.png,34
138787,A. Gordon,22,8.0,Attacker,https://media-1.api-sports.io/football/players/138787.png,34
2939,C. Wilson,31,9.0,Attacker,https://media-3.api-sports.io/football/players/2939.png,34
