,player_age,correct
45158,40.0,1
18997,42.0,1
17444,39.0,1
19187,30.0,1
52756,31.0,1
358,29.0,1
9972,29.0,0
65444,33.0,1
35196,22.0,0
43613,31.0,1
28092,37.0,1
64561,26.0,1
4526,34.0,0
44787,33.0,1
5317,30.0,1
60753,37.0,0
49188,28.0,1
59911,31.0,1
5235,26.0,1
50386,26.0,1
65562,39.0,1
7183,26.0,1
20438,33.0,0
35963,30.0,1
1418,35.0,0
34523,18.0,1
24276,37.0,1
35907,29.0,1
30763,36.0,1
11216,37.0,0
10249,28.0,1
16911,40.0,1
28440,32.0,1
54332,20.0,1
26365,20.0,1
64309,34.0,1
41479,28.0,0
43912,30.0,1
56676,31.0,0
38476,37.0,0
25481,28.0,0
10610,33.0,0
523,31.0,1
65113,21.0,1
48485,30.0,0
64279,26.0,1
54210,23.0,1
36120,30.0,1
30199,33.0,0
59447,35.0,1
45559,30.0,1
15974,27.0,1
50880,35.0,0
44232,28.0,1
29539,37.0,0
25037,33.0,0
44091,33.0,0
55180,24.0,1
50118,30.0,1
54429,27.0,0
6850,27.0,0
35126,30.0,1
34909,23.0,1
22276,29.0,1
59686,24.0,1
2253,33.0,0
10027,31.0,1
42569,32.0,1
33688,34.0,1
53818,20.0,1
518,33.0,1
34363,34.0,1
35516,25.0,1
12464,39.0,0
27965,29.0,1
64799,31.0,1
22200,22.0,1
43430,34.0,0
20474,22.0,1
39162,25.0,0
4919,27.0,1
47141,21.0,1
19987,31.0,0
5857,28.0,1
6202,30.0,1
6487,33.0,1
847,21.0,1
51237,35.0,0
47592,32.0,0
44144,29.0,0
41016,27.0,1
787,21.0,1
22679,26.0,0
63760,31.0,1
23822,34.0,1
37001,27.0,0
7091,26.0,0
2928,30.0,0
26841,32.0,0
21240,28.0,1
7961,25.0,0
64040,36.0,0
15746,28.0,1
10759,26.0,1
52277,38.0,1
16382,34.0,1
15340,23.0,1
42679,31.0,1
54811,29.0,1
43145,34.0,0
42049,26.0,0
63708,37.0,0
2517,32.0,1
31410,37.0,1
61124,35.0,0
4306,31.0,1
61180,24.0,1
39494,40.0,1
9516,35.0,0
7132,22.0,1
28015,26.0,0
45409,33.0,1
12193,38.0,1
55807,25.0,1
33292,37.0,0
63460,28.0,1
59563,18.0,1
262,38.0,1
35326,23.0,1
23517,25.0,1
49690,42.0,1
30409,26.0,1
18663,29.0,1
60013,26.0,0
64720,32.0,0
41336,38.0,0
33091,36.0,1
35668,27.0,0
65510,33.0,0
44242,27.0,1
25680,37.0,0
11425,32.0,0
17291,33.0,1
38279,29.0,1
64922,34.0,1
48673,27.0,1
35439,20.0,1
39435,35.0,0
65813,33.0,1
52580,33.0,1
18725,32.0,0
11979,31.0,1
13972,32.0,1
16902,27.0,1
17165,34.0,0
60725,32.0,0
34070,35.0,1
45609,35.0,1
11880,33.0,1
17341,35.0,1
31861,33.0,0
49343,32.0,1
22298,25.0,1
2605,27.0,1
27630,22.0,1
38978,29.0,1
32852,37.0,0
58857,24.0,0
25448,36.0,1
10556,29.0,0
19658,34.0,1
611,28.0,0
39607,32.0,0
60775,32.0,1
55352,25.0,0
33746,29.0,1
61455,22.0,1
58741,37.0,0
49732,36.0,0
48770,26.0,1
63623,31.0,0
3185,36.0,1
25483,33.0,1
22450,34.0,0
55394,24.0,1
49566,26.0,1
46428,33.0,1
9899,26.0,1
41757,21.0,1
39440,33.0,0
35434,30.0,1
4384,24.0,1
20814,32.0,1
2552,26.0,1
24697,28.0,1
3097,34.0,1
17755,40.0,1
37007,31.0,0
39859,30.0,1
64096,32.0,1
59822,22.0,1
41020,24.0,1
17041,29.0,0
23089,26.0,0
52422,31.0,1
24965,43.0,1
28522,30.0,1
37880,26.0,1
41420,28.0,1
27933,35.0,1
23881,28.0,1
7725,28.0,1
1557,34.0,0
4414,31.0,1
36129,25.0,1
19279,28.0,1
15210,29.0,1
38633,32.0,0
27488,25.0,1
18392,38.0,0
59219,25.0,0
44624,35.0,0
16502,28.0,1
31497,34.0,1
51295,33.0,0
5778,39.0,0
1785,37.0,0
47374,33.0,1
28899,27.0,1
19064,33.0,0
20014,30.0,0
38674,34.0,1
5579,36.0,0
21992,31.0,1
20659,21.0,1
57653,35.0,0
15511,30.0,0
37578,30.0,0
45488,30.0,1
38145,36.0,0
27475,29.0,1
39924,30.0,0
64574,36.0,1
12432,36.0,0
52697,38.0,1
44831,39.0,0
35310,25.0,0
47155,27.0,1
65181,37.0,0
56259,30.0,1
64029,37.0,0
54823,34.0,0
15963,28.0,0
36539,27.0,0
48697,34.0,1
33415,38.0,1
20565,21.0,1
19799,38.0,1
25200,30.0,1
61669,26.0,1
2086,22.0,1
43685,38.0,1
27981,31.0,0
27751,35.0,0
47739,26.0,0
27305,31.0,1
53012,34.0,1
21602,26.0,1
20573,38.0,1
6742,35.0,1
49044,26.0,1
30215,40.0,1
23243,24.0,1
30748,29.0,1
50130,29.0,1
60401,30.0,1
19451,34.0,0
17274,33.0,1
42441,29.0,1
64409,27.0,0
28178,33.0,1
23352,31.0,0
12462,36.0,0
4040,31.0,1
15281,31.0,0
38484,33.0,1
34683,23.0,0
32369,27.0,1
24192,27.0,1
46500,30.0,0
7993,29.0,0
61831,33.0,1
24533,26.0,1
55861,29.0,1
33400,39.0,0
62983,38.0,0
57274,33.0,1
49935,27.0,1
27291,22.0,1
39105,32.0,0
47345,30.0,1
17979,29.0,1
17612,31.0,1
2407,32.0,1
50193,38.0,1
9104,26.0,0
38156,27.0,1
46241,30.0,1
54745,33.0,1
38325,29.0,0
27601,35.0,1
48514,35.0,1
29268,30.0,1
19484,39.0,1
6951,32.0,1
15955,25.0,1
1805,23.0,1
46989,31.0,0
62171,24.0,1
63281,33.0,1
47009,42.0,1
41942,32.0,0
12205,31.0,1
25458,35.0,0
46296,37.0,1
29367,35.0,0
655,36.0,0
56933,32.0,1
4410,30.0,0
60844,29.0,1
17504,28.0,1
4928,31.0,1
31027,37.0,0
35394,29.0,1
62121,36.0,0
48975,23.0,1
64229,36.0,1
48932,35.0,0
8330,31.0,1
19675,34.0,0
4460,29.0,0
59085,20.0,1
56633,35.0,1
14619,35.0,0
32867,33.0,1
51186,33.0,0
59420,30.0,0
34793,19.0,1
27604,22.0,1
4454,29.0,1
1416,22.0,1
58376,33.0,1
10220,24.0,1
3821,33.0,1
35522,24.0,1
64840,36.0,0
33099,40.0,0
21430,29.0,1
38045,29.0,1
23509,32.0,1
23731,38.0,1
688,31.0,1
50433,30.0,1
62015,29.0,1
43445,37.0,1
42170,32.0,0
48752,27.0,0
8137,29.0,0
7846,25.0,0
9734,21.0,1
55479,33.0,0
51505,32.0,1
60268,19.0,1
49220,35.0,0
50170,37.0,1
58190,30.0,1
8912,29.0,0
32709,36.0,0
14030,26.0,1
36887,25.0,1
13300,27.0,0
25776,33.0,1
5390,27.0,1
64166,31.0,0
47629,21.0,1
26239,23.0,1
26663,27.0,1
20428,30.0,1
8651,26.0,1
64475,37.0,0
44486,34.0,1
28491,25.0,1
52692,34.0,0
47750,21.0,1
34079,36.0,0
42341,25.0,1
44927,31.0,0
58342,33.0,0
54601,33.0,0
55165,25.0,1
2481,35.0,1
14153,25.0,1
61464,35.0,1
40353,30.0,0
19809,29.0,1
24645,35.0,1
36198,26.0,0
54758,28.0,1
30100,30.0,0
48188,31.0,1
26573,28.0,1
38231,30.0,1
31142,33.0,1
58503,30.0,1
58301,40.0,1
12570,29.0,1
57908,34.0,0
16500,28.0,0
35539,29.0,1
33364,30.0,1
38999,26.0,1
16764,23.0,1
40837,22.0,1
2757,36.0,0
32713,32.0,0
33625,32.0,1
14852,34.0,1
27472,24.0,1
21585,35.0,0
13291,30.0,0
19337,36.0,1
7562,32.0,1
35121,25.0,0
876,21.0,0
13914,22.0,1
15544,31.0,1
33951,37.0,0
13041,32.0,0
54853,30.0,0
39890,35.0,0
37520,26.0,1
